t	8/20	7/20	6/20	5/20
0	0.675325	0.536082	0.513761	0.828571
1	0.821429	0.821429	0.821429	0.333333
2	0.808511	0.829787	0.711864	0.763636
3	0.875	0.847328	0.901515	0.931818
4	0.630952	0.654762	0.581818	0.71134
5	1	1	0.818182	0.698413
6	0.642857	0.716418	0.629213	0.522124
7	0.6	0.565217	0.721311	0.594595
8	0.829114	0.848101	0.813953	0.965517
9	0.671233	0.76	0.616162	0.88
10	0.861702	0.94186	0.811881	0.60274
11	0.932203	0.504505	0.531532	1
12	0.741117	0.771574	0.847716	0.861386
13	0.772727	0.852273	0.769231	0.846154
14	0.662252	0.650602	0.734177	0.746988
15	0.431138	0.431138	0.390374	0.502994
16	0.966667	0.813084	0.850467	1
17	0.612069	0.672414	0.601399	0.797203
18	0.777778	0.833333	0.969697	1
19	0.846154	0.942029	0.785714	0.73
