t	8/20	7/20	6/20	5/20
0	0.855634	0.894366	0.971831	0.971831
1	0.591241	0.635036	0.693431	0.810219
2	0.66474	0.746914	0.746914	0.746914
3	0.606557	0.808219	0.73224	0.797814
4	1	1	1	1
5	0.609091	0.681818	0.763636	0.845455
6	0.736842	0.763158	0.583643	0.657993
7	0.830986	0.758333	0.791667	0.899083
8	0.770492	0.816393	0.877888	0.872131
9	0.57	0.561905	0.507143	0.65
10	0.862069	0.887538	0.876106	0.902736
11	0.777778	0.894444	1	1
12	0.864035	0.947368	1	1
13	0.768116	0.804348	0.84058	0.84058
14	0.647287	0.641577	0.703704	0.791506
15	0.765579	0.743733	0.816024	0.80618
16	0.944767	0.946629	0.935829	0.931646
17	0.707792	0.831169	0.896104	0.974026
18	0.788136	0.827869	0.983607	0.853147
19	0.824324	0.771084	0.925676	0.848485
