t	8/20	7/20	6/20	5/20
0	0.707447	0.765957	0.781915	0.760638
1	0.765487	0.792035	0.799127	0.808333
2	0.809091	0.836207	0.9	0.722628
3	0.772727	0.713333	0.766667	0.757396
4	0.912698	0.920635	0.904412	0.971831
5	0.808917	0.893333	0.953333	0.839572
6	1	1	1	1
7	1	1	1	0.772727
8	0.727811	0.673797	0.678947	0.768421
9	0.477778	0.577778	0.633663	0.851485
10	0.892857	1	1	1
11	1	1	1	0.722222
12	0.477612	0.414141	0.616438	0.863014
13	0.25974	0.324675	0.350649	0.429907
14	0.758772	0.740426	0.807018	0.816667
15	1	1	1	1
16	1	1	0.857143	0.634409
17	1	0.75	0.756944	0.703488
18	0.472973	0.472973	0.5	0.716216
19	0.668966	0.695035	0.727273	0.843972
