t	8/20	7/20	6/20	5/20
0	0.685714	0.490196	0.508197	0.390244
1	0.1875	0.1875	0.333333	0.5625
2	0.392157	0.411765	0.35	0.35
3	1	1	0.75	0.2
4	1	1	1	1
5	1	1	1	1
6	0.235294	0.6	0.633333	1
7	0.571429	0.630952	0.690476	0.714286
8	0.724138	0.862069	0.862069	1
9	0.214286	0.642857	0.857143	0.7
10	0.891304	0.891304	0.891304	0.901961
11	1	1	1	1
12	0.758621	0.931034	1	1
13	0.652174	0.695652	0.782609	0.833333
14	1	0.95122	1	0.814815
15	1	1	0.75	0.674419
16	0.780488	1	1	1
17	1	1	0.333333	0.175
18	1	1	0.7	0.7
19	1	1	0.9	0.526316
