t	8/20	7/20	6/20	5/20
0	0.662879	0.847222	0.818565	0.727273
1	0.66129	0.418367	0.478261	0.564356
2	1	0.804878	0.742857	0.752294
3	0.549296	0.728972	0.766355	0.88785
4	1	1	1	0.322581
5	0.160714	0.208333	0.728814	0.745763
6	0.981308	0.629412	0.82963	0.955556
7	0.874016	0.363057	0.8	0.57377
8	0.505618	0.519663	0.690972	0.618462
9	0.373333	0.411765	0.411765	0.435294
10	0.853755	0.891129	0.873518	0.873518
11	0.686275	1	0.622222	0.622222
12	0.659574	0.702128	0.988024	1
13	1	0.752809	0.647619	0.88764
14	0.275168	0.563291	0.642857	0.730061
15	0.629921	0.69685	0.697761	0.580357
16	0.931818	0.722543	0.757225	0.846821
17	0.284091	0.707317	0.612613	0.669643
18	0.520833	0.541667	0.572917	0.833333
19	0.418803	0.452991	0.478632	0.521368
