t	8/20	7/20	6/20	5/20
0	0.8867	0.964646	0.970443	0.975962
1	0.758523	0.790055	0.808	0.789604
2	0.618357	0.661836	0.671498	0.681159
3	0.589041	0.616438	0.657534	0.866279
4	0.830409	0.871166	0.871166	0.632743
5	0.954955	0.85283	0.858156	0.938406
6	0.571429	0.553763	0.684524	0.815476
7	0.645833	0.472973	0.472973	0.611111
8	0.825688	0.866972	0.876147	0.82906
9	0.348534	0.763889	0.791667	0.847222
10	0.777778	0.833333	0.414433	0.683333
11	0.680851	0.765957	0.957447	1
12	0.934783	0.488636	0.905263	0.488636
13	0.946429	0.946429	0.946429	0.946429
14	0.937759	0.900398	0.493724	0.921642
15	0.306931	0.439759	0.44	0.412214
16	0.782609	0.874396	0.917874	0.760618
17	0.699115	0.756637	0.823009	0.858407
18	0.852273	0.652174	0.865169	0.88
19	1	1	0.88	0.88
