t	8/20	7/20	6/20	5/20
0	0.965116	0.976744	1	0.803738
1	1	1	1	0.621951
2	0.727273	0.857143	0.929577	0.374384
3	0.47619	1	0.47619	0.5
4	0.5625	0.216931	0.617647	0.676471
5	1	1	0.492958	0.577465
6	1	0.625	0.523077	1
7	0.790323	0.822581	0.830645	0.956897
8	0.494949	0.494949	1	0.816667
9	0.559524	0.630952	0.630952	0.75
10	1	0.797297	0.746835	0.864865
11	0.28169	0.28169	0.296296	1
12	1	1	0.141176	1
13	0.603175	1	0.277027	0.310811
14	0.513158	1	0.964286	1
15	0.410714	0.788136	0.729323	0.915254
16	0.928571	0.928571	0.641975	0.691358
17	0.790698	0.976744	1	1
18	0.292683	0.292683	0.292683	0.585366
19	0.880952	0.880952	0.97619	1
