t	8/20	7/20	6/20	5/20
0	0.285714	0.285714	0.285714	0.285714
1	0.428571	0.428571	0.428571	0.428571
2	0.136364	0.136364	0.136364	0.136364
3	0.813953	0.813953	0.813953	0.813953
4	0.315789	0.315789	0.315789	0.315789
5	1	0.47619	0.47619	0.47619
6	0.318182	0.5	0.5	0.5
7	1	0.6	0.6	0.6
8	0.390805	0.423913	0.467391	0.561224
9	0.153846	0.153846	0.153846	0.153846
10	0.509804	0.509804	0.627451	0.627451
11	0.214286	0.5	0.5	0.964286
12	1	0.564815	0.709302	0.709302
13	0.304348	0.369565	0.456522	0.521739
14	0.821429	0.839286	0.681159	0.681159
15	0.482759	0.482759	0.233333	0.233333
16	0.604651	0.604651	0.481481	0.481481
17	0.969697	0.969697	0.969697	0.426667
18	0.342857	0.571429	0.685714	0.685714
19	0.384615	0.384615	0.384615	0.384615
