t	8/20	7/20	6/20	5/20
0	0.829384	0.775424	0.600619	0.637168
1	1	0.82	0.44898	0.59375
2	0.545455	0.519685	0.672414	0.706897
3	0.821053	0.4875	0.539474	0.539773
4	0.161905	1	0.144068	0.215054
5	1.6875	0.333333	0.311594	0.305556
6	0.981308	0.614943	0.528302	0.777108
7	0.78169	0.640449	0.626263	0.679612
8	0.825688	0.717054	0.558989	0.57265
9	0.243478	0.411765	0.411765	0.435294
10	0.821293	0.827715	0.527446	0.574026
11	0.686275	0.817518	0.615385	0.622222
12	0.928144	0.988024	0.452055	0.589286
13	0.638095	0.752809	0.85	0.79798
14	0.796117	0.552795	0.540984	0.650273
15	0.577617	0.616725	0.651568	0.789474
16	0.845361	0.859107	0.702413	0.785523
17	0.666667	0.707317	0.612613	0.675676
18	1.04167	0.416	0.44	0.672269
19	0.418803	0.445378	0.421053	0.521368
