t	8/20	7/20	6/20	5/20
0	0.869281	0.923077	0.798913	0.737113
1	0.629091	0.514368	0.547904	0.514589
2	0.855769	0.881818	0.804878	0.697183
3	1.5	1.57353	0.845588	0.941176
4	0.898438	0.610526	0.866197	0.971831
5	0.709497	0.905405	0.798883	0.679654
6	1	1	0.676692	0.9375
7	1	1	1	1
8	0.75	0.893617	0.786585	0.726368
9	0.320896	0.547368	0.603774	0.767857
10	1.00671	1	1	1
11	1	1	1	1
12	0.477612	0.518987	0.523256	0.732558
13	0.571429	0.252525	0.293478	0.5
14	0.925134	0.816901	0.817778	0.871111
15	1	1	1	0.382716
16	1	0.76	1	0.631016
17	0.878049	1	1	0.765823
18	0.472973	0.507246	0.536232	1.01923
19	0.932692	0.830508	0.737589	0.944444
