t	8/20	7/20	6/20	5/20
0	0.864583	0.875	0.895833	0.86
1	0.6375	1	1	0.515152
2	0.727273	0.857143	0.857143	1.07042
3	0.47619	0.47619	0.47619	0.5
4	0.5625	0.569444	0.617647	0.393162
5	1	1	0.530303	0.445652
6	0.410959	0.588235	0.409639	0.615385
7	0.790323	0.744526	0.830645	0.755102
8	0.830508	0.544444	1	1
9	0.824561	0.929825	0.630952	0.724138
10	1	1	0.746835	0.761905
11	0.8	1.14286	0.555556	0.694444
12	0.8	1	0.8	1.02083
13	0.457831	0.539474	0.891304	0.638889
14	1.2381	1.13043	0.964286	1
15	0.884615	0.894231	0.651007	0.80597
16	0.881356	0.928571	0.928571	0.674699
17	0.790698	0.933333	1	1
18	0.292683	0.292683	0.292683	0.585366
19	1	0.880952	0.97619	1
