t	8/20	7/20	6/20	5/20
0	0.720165	0.753086	0.798354	0.870968
1	0.493976	0.445652	0.478261	0.619565
2	0.634615	0.584071	0.690265	0.700855
3	0.678261	0.655462	0.689076	0.798319
4	1	1	1	0.217391
5	0.457627	0.59322	0.728814	0.745763
6	0.59322	0.60452	0.632768	0.728814
7	0.689441	0.690909	0.751515	0.848485
8	0.821918	0.844749	0.908676	0.913636
9	0.383562	0.479452	0.479452	0.468354
10	0.915254	0.936441	0.936441	0.884
11	0.625	0.666667	0.666667	0.666667
12	0.673913	0.717391	0.673469	0.652174
13	0.67	0.638095	0.647619	0.745283
14	0.650794	0.706349	0.883929	0.687861
15	0.733945	0.597973	0.631757	0.68662
16	0.759259	0.771605	0.79878	0.761039
17	0.581395	0.773333	0.906667	0.872093
18	0.406504	0.422764	0.447154	0.629921
19	0.422414	0.53	0.482759	0.525862
