t	8/20	7/20	6/20	5/20
0	0.8867	0.940887	0.970443	0.975962
1	0.74581	0.787879	0.821138	0.822165
2	0.934307	0.978571	0.817647	0.819767
3	0.664948	0.695876	0.742268	0.628692
4	1	1	0.835294	0.8125
5	0.770909	0.689024	0.703488	0.723464
6	0.932039	0.72028	0.684524	0.815476
7	0.373494	0.875	0.426829	0.53012
8	0.807175	0.794118	0.809322	0.822034
9	0.743056	0.763889	0.791667	0.835616
10	0.697318	0.665529	0.686007	0.699659
11	0.8	0.765957	0.957447	1
12	0.905263	0.905263	0.905263	0.905263
13	1	1	1	1
14	0.882812	0.843284	0.880597	0.921642
15	0.452555	0.532847	0.642336	0.788321
16	0.794118	0.804444	0.844444	0.784861
17	0.849462	0.919355	0.958763	0.832618
18	0.576923	0.576923	0.592308	0.676923
19	0.88	0.88	0.88	0.88
