t	8/20	7/20	6/20	5/20
0	0.965116	0.84	0.86	1
1	1	1	1	0.485714
2	0.651163	0.767442	0.767442	0.817204
3	1	1	1	0.5
4	0.8	0.911111	0.933333	0.978723
5	1	1	1	0.931818
6	1	0.625	0.708333	1
7	0.790323	0.953271	0.830645	0.828358
8	1	1	1	0.942308
9	0.824561	0.929825	0.929825	0.75
10	0.678161	0.678161	1	0.533333
11	0.666667	0.8	0.56338	0.769231
12	0.941176	0.941176	0.941176	0.960784
13	0.527778	0.621212	0.418367	0.630137
14	0.928571	0.928571	0.964286	1
15	0.851852	0.861111	0.898148	1
16	0.928571	0.928571	0.382353	0.411765
17	0.790698	0.976744	1	1
18	0.292683	0.292683	0.292683	0.585366
19	1	0.880952	1	1
