t	8/20	7/20	6/20	5/20
0	0.686275	0.673077	0.660377	0.44898
1	0.666667	0.666667	0.666667	0.666667
2	0.253731	0.586207	0.447368	0.586207
3	1	1	1	0.635135
4	0.962963	0.482143	0.482143	0.5
5	0.444444	1	1	0.363636
6	1	1	1	1
7	0.75	0.705882	0.735294	0.405405
8	0.318033	0.875	0.447489	0.857143
9	0.538462	0.538462	0.592593	0.634615
10	1	1	1	0.567901
11	1	1	1	0.20765
12	0.893805	0.893805	1	0.757143
13	1	1	1	0.767123
14	0.902778	0.916667	0.733333	0.958333
15	0.681159	0.681159	0.681159	0.695652
16	0.857143	0.857143	0.857143	0.901408
17	0.618182	0.957746	0.957746	0.971831
18	1	1	1	0.43662
19	0.34	0.459459	0.242857	0.36
