t	8/20	7/20	6/20	5/20
0	0.880435	0.92029	0.978723	1
1	0.637795	0.696	0.785124	0.874016
2	0.761589	0.896296	0.796053	0.846154
3	0.760274	0.719512	0.673367	0.80663
4	1	0.597826	0.597826	0.597826
5	0.609091	0.681818	0.763636	0.845455
6	0.54902	0.721393	0.781095	0.694118
7	0.716599	0.879227	0.926829	0.820084
8	0.883459	0.93609	1	1
9	0.57	0.450382	0.31982	0.441748
10	0.925926	0.983165	1	1
11	0.777778	0.766667	1	1
12	0.864035	0.947368	1	1
13	0.868852	0.909836	0.95082	0.95082
14	0.692946	0.69112	0.714286	0.791506
15	0.728814	0.767241	0.797101	0.859281
16	0.786925	0.812048	0.843373	0.865882
17	0.707792	0.831169	0.896104	0.974026
18	0.615894	0.668874	0.794702	0.807947
19	0.705202	0.727273	0.778409	0.732984
