t	8/20	7/20	6/20	5/20
0	0.409231	0.545455	0.91875	0.89375
1	0.709016	0.748954	0.644366	0.732075
2	0.436275	0.383399	0.825	0.825
3	0.32381	0.243182	0.898438	0.365714
4	0.898438	0.878788	0.866197	0.971831
5	0.858108	0.748603	0.798883	0.872222
6	0.252809	0.26087	0.265487	1
7	1	1	1	1
8	0.339779	0.348066	0.895833	0.489933
9	0.425743	0.514851	0.633663	0.811321
10	0.380711	1	1	0.861538
11	1	1	1	1
12	0.477612	0.61194	0.616438	0.797468
13	0.0925926	0.324675	0.350649	0.597403
14	0.350913	0.42029	0.924623	0.51715
15	1	1	1	1
16	1	1	0.257336	0.655556
17	1	1	0.756944	0.770701
18	1	1	0.234177	0.197026
19	0.932692	0.942308	0.881356	0.466667
