t	8/20	7/20	6/20	5/20
0	0.497487	0.475113	0.57377	0.579235
1	0.584615	0.684615	0.658228	0.869231
2	0.723077	0.7	0.908257	1
3	0.666667	0.730159	0.494737	0.395683
4	0.755556	0.755556	0.844444	0.844444
5	0.666667	0.65625	0.862385	0.810345
6	0.684211	0.719298	0.842105	0.842105
7	0.72973	0.772973	0.840659	0.821053
8	0.780952	0.921348	0.719298	0.69697
9	0.740741	0.714286	0.740741	0.853211
10	0.780702	0.807018	0.689189	0.964912
11	0.634615	0.774194	0.637168	0.858824
12	0.57265	0.55814	0.627907	0.744186
13	0.833333	0.725	0.827586	0.827586
14	0.631206	0.664234	0.739837	0.686131
15	0.816327	0.72093	0.845679	0.882716
16	0.466667	0.521127	0.854545	0.89697
17	0.789474	0.824561	0.824561	0.824561
18	0.621212	0.43617	0.521277	0.680851
19	0.567568	0.734375	0.585366	0.90625
