t	8/20	7/20	6/20	5/20
0	0.553191	0.460177	0.509091	0.53211
1	0.261364	0.310811	0.310811	0.45098
2	0.463415	0.386139	0.646154	0.477273
3	0.795455	0.711538	0.838028	0.793548
4	0.384058	0.443548	0.492308	0.547619
5	0.5	0.387097	0.391304	0.619718
6	0.387097	0.448598	0.7	0.719512
7	0.458824	0.534247	0.594595	0.483516
8	0.903448	0.728261	0.833333	0.795455
9	0.521277	0.662791	0.709302	0.702128
10	0.920455	0.94186	0.931818	1
11	0.647059	0.528302	0.694118	0.694118
12	0.824859	0.938272	0.826733	0.813084
13	0.60177	0.663717	0.707965	0.778761
14	0.515464	0.724832	1	1.06897
15	0.566929	0.590164	0.442424	0.541935
16	0.587838	0.587838	0.733871	0.862903
17	0.486301	0.530612	0.540881	0.612903
18	0.374046	0.625	0.8	0.431373
19	0.458333	0.77381	0.622642	0.793478
