t	8/20	7/20	6/20	5/20
0	0.616438	0.896714	0.864035	0.692833
1	0.558577	0.715	0.668874	0.641851
2	0.484848	0.522901	0.530534	0.538168
3	0.68617	0.718085	0.634361	0.680365
4	0.820809	0.735751	0.696078	0.70098
5	0.544987	0.544578	0.59901	0.583333
6	0.530387	0.569061	0.605263	0.713542
7	0.300971	0.57377	0.648148	0.611111
8	0.722892	0.752988	0.782787	0.795082
9	0.849206	0.484581	0.502203	0.589372
10	0.777778	0.656566	0.614679	0.57423
11	0.820513	0.765957	0.882353	1
12	0.934783	0.934783	0.934783	0.934783
13	1	0.946429	0.815385	0.946429
14	0.773973	0.782007	0.816609	0.791667
15	0.54386	0.477124	0.53012	0.5
16	0.669421	0.754167	0.756972	0.772549
17	0.583026	0.743478	0.958763	0.772908
18	0.652174	0.480769	0.875	0.988764
19	0.900585	0.900585	0.911243	0.900585
