t	8/20	7/20	6/20	5/20
0	0.417722	0.644172	0.452586	0.486239
1	0.584615	0.847619	0.553191	0.649425
2	0.706767	0.736842	0.707143	0.838462
3	0.446809	0.534884	0.546512	0.429688
4	0.755556	0.623853	0.844444	0.703704
5	0.591304	0.770642	0.622517	0.622517
6	0.684211	0.706897	0.813559	0.842105
7	0.718085	0.715	0.765	0.78
8	0.766355	0.766355	0.625954	0.828829
9	0.672269	0.769231	0.769231	0.853211
10	0.700787	0.571429	0.790698	0.852713
11	0.673469	0.553846	0.541353	0.574803
12	0.563025	0.473684	0.529412	0.695652
13	0.547945	0.725	0.793388	0.676056
14	0.659259	0.636364	0.627586	0.666667
15	0.745342	0.696629	0.665049	0.882716
16	0.54491	0.484716	0.705	0.660714
17	0.298013	0.356061	0.824561	0.559524
18	0.455556	0.350427	0.331081	0.470588
19	0.512195	0.635135	0.484848	0.783784
