t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	51	0.451327	0.593023	0.64557
2	24	0.5	0.55814	0.774194
3	30	0.789474	0.508475	0.789474
4	74	0.691589	0.691589	1
5	53	0.417323	0.486239	0.53
6	25	0.308642	0.342466	0.362319
7	42	0.736842	0.736842	0.428571
8	34	0.607143	0.586207	0.419753
9	121	0.801325	0.883212	0.806667
10	50	0.588235	0.675676	0.543478
11	83	0.864583	0.864583	1
12	39	0.410526	0.696429	0.65
13	137	0.61991	0.985612	0.985612
14	73	0.695238	0.744898	0.793478
15	116	0.913386	0.70303	0.920635
16	69	0.507353	0.507353	0.530769
17	97	0.740458	1	0.92381
18	95	0.88785	0.56213	0.637584
19	62	1	1	0.939394
20	53	0.473214	0.768116	0.697368
21	55	0.454545	0.723684	0.654762
22	58	0.716049	0.707317	0.773333
23	37	0.770833	1	0.973684
24	79	0.622047	0.622047	0.918605
25	78	0.619048	0.696429	0.65
26	49	0.875	0.875	1
27	24	0.263736	0.358209	0.6
28	83	0.912088	0.775701	0.912088
29	39	0.684211	0.886364	0.886364
30	51	0.689189	0.910714	0.689189
31	50	0.60241	0.757576	0.78125
32	67	0.62037	0.626168	0.644231
33	33	0.392857	0.417722	0.402439
34	84	0.604317	0.608696	0.626866
35	63	0.63	0.807692	0.768293
36	80	0.808081	0.808081	0.851064
37	97	0.664384	0.740458	0.697842
38	26	0.577778	0.541667	0.619048
39	44	0.564103	0.444444	1
40	111	0.760274	0.888	0.991071
41	54	0.885246	0.964286	0.885246
42	44	0.40367	0.916667	0.977778
43	22	0.338462	0.578947	0.488889
44	54	0.627907	0.666667	1
45	23	0.219048	0.479167	0.294872
46	101	0.564246	0.770992	0.765152
47	75	0.657895	0.700935	0.773196
48	42	0.711864	0.763636	0.7
49	52	0.945455	1	0.764706
50	114	0.629834	0.497817	0.651429
