t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	183	0.709302	0.83945	0.813333
2	71	0.63964	0.816092	0.633929
3	57	0.6	0.6	0.5
4	78	0.569343	0.728972	0.655462
5	38	0.612903	0.612903	0.612903
6	21	0.355932	0.677419	0.7
7	133	0.60181	0.985185	0.76
8	135	0.576923	0.75419	0.721925
9	185	0.770833	0.848624	0.852535
10	57	0.491379	0.670588	0.475
11	187	0.754032	0.70566	0.70566
12	116	0.640884	0.648045	0.648045
13	160	0.701754	0.812183	0.842105
14	88	0.888889	0.888889	0.765217
15	108	0.603352	0.57754	0.744828
16	229	0.803509	0.704615	0.797909
17	280	0.665083	0.888889	0.888889
18	33	0.2	0.183333	0.289474
19	78	0.52	1	0.678261
20	84	0.604317	0.717949	0.705882
21	163	0.673554	1	0.905556
22	199	0.686207	1	0.904545
23	90	0.596026	0.918367	1
24	65	0.546218	0.833333	0.601852
25	127	0.709497	1	0.647959
26	137	0.685	0.702564	0.702564
27	69	0.92	0.403509	0.657143
28	157	0.606178	0.643443	0.740566
29	130	0.575221	0.955882	0.714286
30	39	0.534247	0.534247	0.309524
31	178	0.593333	0.723577	0.843602
32	85	0.518293	0.611511	1
33	150	0.802139	0.842697	0.707547
34	81	0.618321	0.952941	1
35	85	0.578231	0.779817	0.634328
36	150	0.789474	0.646552	0.731707
37	221	0.651917	0.843511	0.880478
38	36	0.5625	1	1
39	93	0.837838	1	1
40	231	0.691617	0.843066	0.885057
41	108	0.771429	0.972973	0.972973
42	195	0.809129	0.809129	0.79918
43	102	0.459459	1	0.871795
44	86	0.688	0.562092	0.688
45	105	0.57377	0.795455	0.875
46	287	0.551923	0.905363	0.979522
47	90	0.661765	0.762712	1
48	118	0.7375	1	0.848921
49	67	0.36612	0.598214	0.452703
50	87	0.432836	0.820755	1
