t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	180	0.849057	0.878049	0.8867
2	303	0.603586	0.851124	0.75
3	123	0.534783	0.723529	0.736527
4	128	0.61244	0.761905	0.842105
5	142	0.759358	0.871166	1
6	209	0.478261	0.72069	0.788679
7	96	0.450704	0.571429	0.932039
8	35	0.4375	0.714286	0.875
9	189	0.825328	0.790795	0.989529
10	135	0.574468	0.818182	0.695876
11	198	0.540984	0.66	0.75
12	80	0.769231	0.851064	0.733945
13	86	0.924731	0.905263	0.728814
14	106	0.963636	0.963636	1
15	236	0.751592	0.605128	0.921875
16	69	0.392045	0.375	0.560976
17	135	0.521236	0.521236	0.649038
18	158	0.593985	0.731481	0.731481
19	75	0.815217	0.652174	0.576923
20	154	0.88	0.88	0.88
21	431	0.592033	0.828846	0.67874
22	121	0.493878	0.817568	0.846154
23	47	0.61039	0.979167	0.979167
24	149	0.55597	0.780105	0.772021
25	142	0.893082	0.759358	1
26	155	0.837838	0.824468	0.890805
27	100	0.537634	0.537634	0.632911
28	174	0.519403	0.696	0.701613
29	89	0.37395	0.451777	0.684615
30	195	0.623003	0.67474	0.833333
31	121	0.633508	0.909774	0.75625
32	185	0.656028	0.777311	0.711538
33	141	0.534091	0.705	0.819767
34	158	0.731481	0.951807	1
35	95	0.840708	0.840708	0.840708
36	175	0.560897	0.825472	1
37	180	0.705882	0.882353	0.75
38	16	0.285714	0.210526	0.307692
39	92	0.511111	0.511111	0.671533
40	208	0.529262	0.581006	0.773234
41	167	0.676113	0.634981	0.704641
42	176	0.55	0.647059	0.838095
43	98	0.620253	0.657718	0.790323
44	96	0.521739	0.644295	0.727273
45	136	0.490975	0.635514	0.657005
46	121	0.711765	0.668508	0.668508
47	132	0.835443	0.670051	0.916667
48	94	0.314381	0.364341	0.460784
49	220	0.782918	0.852713	0.852713
50	219	0.684375	0.657658	0.763066
