t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	86	1	1	1
2	51	0.554348	1	1
3	69	0.971831	0.971831	0.766667
4	20	1	1	1
5	32	0.470588	0.5	0.695652
6	35	0.522388	0.522388	1
7	30	0.625	1	1
8	98	0.731343	0.790323	0.790323
9	49	0.5	0.494949	0.942308
10	47	0.559524	0.559524	1
11	59	0.797297	1	0.641304
12	40	0.487805	0.233918	0.8
13	49	1.02083	0.140401	0.859649
14	43	0.614286	0.614286	0.511905
15	75	0.892857	0.833333	0.892857
16	93	0.939394	0.885714	0.781513
17	54	0.964286	0.666667	0.915254
18	40	0.930233	0.930233	1
19	12	0.292683	0.292683	0.307692
20	37	0.880952	1	1
21	34	0.566667	0.566667	0.653846
22	24	0.255319	0.0987654	0.393443
23	56	1	0.325581	0.788732
24	74	0.880952	0.314894	0.902439
25	55	1	1	0.797101
26	13	1	0.40625	1
27	17	1	1	1
28	53	0.697368	1	0.768116
29	90	0.473684	0.471204	0.687023
30	13	0.684211	0.928571	0.684211
31	44	0.494382	0.494382	0.494382
32	89	0.664179	0.664179	0.669173
33	84	0.933333	0.777778	0.893617
34	48	0.539326	0.786885	0.5
35	32	0.340426	1	1
36	32	0.52459	0.457143	0.470588
37	50	0.4	0.409836	0.434783
38	49	0.371212	0.13388	0.662162
39	62	0.466165	0.244094	0.590476
40	72	0.642857	0.986301	0.610169
41	51	0.485714	0.573034	0.481132
42	23	1	1	1
43	20	0.666667	0.666667	1
44	61	0.743902	0.743902	0.743902
45	117	0.914062	0.89313	0.576355
46	37	0.637931	1	0.45122
47	59	0.710843	0.670455	1
48	41	0.602941	1	0.602941
49	37	0.513889	1	1
50	26	0.333333	0.333333	0.236364
